"Label (Grouping)","Median household income in the past 12 months (in 2024 inflation-adjusted dollars)"
"    Margin of Error","±16,758"
"Census Tract 77; Jefferson County; Kentucky",""
"    Estimate","96,607"
"    Margin of Error","±35,470"
"Census Tract 78; Jefferson County; Kentucky",""
"    Estimate","91,071"
"    Margin of Error","±21,119"
"Census Tract 79; Jefferson County; Kentucky",""
"    Estimate","87,917"
"    Margin of Error","±17,910"
"Census Tract 81; Jefferson County; Kentucky",""
"    Estimate","89,032"
"    Margin of Error","±10,776"
"Census Tract 82.01; Jefferson County; Kentucky",""
"    Estimate","94,911"
"    Margin of Error","±13,046"
"Census Tract 82.02; Jefferson County; Kentucky",""
"    Estimate","58,000"
"    Margin of Error","±6,599"
"Census Tract 83; Jefferson County; Kentucky",""
"    Estimate","77,708"
"    Margin of Error","±30,266"
"Census Tract 84; Jefferson County; Kentucky",""
"    Estimate","95,313"
"    Margin of Error","±11,067"
"Census Tract 85; Jefferson County; Kentucky",""
"    Estimate","116,932"
"    Margin of Error","±22,775"
"Census Tract 87; Jefferson County; Kentucky",""
"    Estimate","171,175"
"    Margin of Error","±24,669"
"Census Tract 88; Jefferson County; Kentucky",""
"    Estimate","105,234"
"    Margin of Error","±11,592"
"Census Tract 89; Jefferson County; Kentucky",""
"    Estimate","98,618"
"    Margin of Error","±12,076"
"Census Tract 90.01; Jefferson County; Kentucky",""
"    Estimate","56,719"
"    Margin of Error","±7,305"
"Census Tract 90.02; Jefferson County; Kentucky",""
"    Estimate","68,640"
"    Margin of Error","±30,723"
"Census Tract 91.03; Jefferson County; Kentucky",""
"    Estimate","44,432"
"    Margin of Error","±28,899"
"Census Tract 91.05; Jefferson County; Kentucky",""
"    Estimate","32,244"
"    Margin of Error","±22,161"
"Census Tract 91.06; Jefferson County; Kentucky",""
"    Estimate","56,344"
"    Margin of Error","±4,776"
"Census Tract 93; Jefferson County; Kentucky",""
"    Estimate","91,995"
"    Margin of Error","±10,350"
"Census Tract 94.01; Jefferson County; Kentucky",""
"    Estimate","84,750"
"    Margin of Error","±8,792"
"Census Tract 94.02; Jefferson County; Kentucky",""
"    Estimate","84,383"
"    Margin of Error","±8,652"
"Census Tract 96; Jefferson County; Kentucky",""
"    Estimate","105,145"
"    Margin of Error","±5,753"
"Census Tract 97; Jefferson County; Kentucky",""
"    Estimate","72,432"
"    Margin of Error","±10,061"
"Census Tract 98; Jefferson County; Kentucky",""
"    Estimate","99,904"
"    Margin of Error","±15,682"
"Census Tract 99; Jefferson County; Kentucky",""
"    Estimate","88,906"
"    Margin of Error","±9,480"
"Census Tract 100.01; Jefferson County; Kentucky",""
"    Estimate","110,938"
"    Margin of Error","±16,790"
"Census Tract 100.04; Jefferson County; Kentucky",""
"    Estimate","66,370"
"    Margin of Error","±4,378"
"Census Tract 100.05; Jefferson County; Kentucky",""
"    Estimate","83,578"
"    Margin of Error","±9,657"
"Census Tract 100.06; Jefferson County; Kentucky",""
"    Estimate","64,392"
"    Margin of Error","±11,100"
"Census Tract 100.07; Jefferson County; Kentucky",""
"    Estimate","102,000"
"    Margin of Error","±27,964"
"Census Tract 100.08; Jefferson County; Kentucky",""
"    Estimate","76,157"
"    Margin of Error","±10,442"
"Census Tract 101.02; Jefferson County; Kentucky",""
"    Estimate","118,224"
"    Margin of Error","±27,144"
"Census Tract 101.03; Jefferson County; Kentucky",""
"    Estimate","67,250"
"    Margin of Error","±11,136"
"Census Tract 101.04; Jefferson County; Kentucky",""
"    Estimate","75,191"
"    Margin of Error","±10,514"
"Census Tract 103.09; Jefferson County; Kentucky",""
"    Estimate","104,926"
"    Margin of Error","±13,524"
"Census Tract 103.12; Jefferson County; Kentucky",""
"    Estimate","133,333"
"    Margin of Error","±33,531"
"Census Tract 103.13; Jefferson County; Kentucky",""
"    Estimate","136,345"
"    Margin of Error","±16,398"
"Census Tract 103.14; Jefferson County; Kentucky",""
"    Estimate","133,672"
"    Margin of Error","±21,201"
"Census Tract 103.15; Jefferson County; Kentucky",""
"    Estimate","109,271"
"    Margin of Error","±18,890"
"Census Tract 103.16; Jefferson County; Kentucky",""
"    Estimate","160,238"
"    Margin of Error","±48,022"
"Census Tract 103.17; Jefferson County; Kentucky",""
"    Estimate","181,412"
"    Margin of Error","±12,391"
"Census Tract 103.18; Jefferson County; Kentucky",""
"    Estimate","111,180"
"    Margin of Error","±5,677"
"Census Tract 103.19; Jefferson County; Kentucky",""
"    Estimate","85,113"
"    Margin of Error","±5,125"
"Census Tract 103.20; Jefferson County; Kentucky",""
"    Estimate","84,038"
"    Margin of Error","±10,508"
"Census Tract 103.21; Jefferson County; Kentucky",""
"    Estimate","145,625"
"    Margin of Error","±22,425"
"Census Tract 103.22; Jefferson County; Kentucky",""
"    Estimate","190,938"
"    Margin of Error","±34,597"
"Census Tract 103.23; Jefferson County; Kentucky",""
"    Estimate","83,068"
"    Margin of Error","±22,446"
"Census Tract 103.24; Jefferson County; Kentucky",""
"    Estimate","73,833"
"    Margin of Error","±11,932"
"Census Tract 104.03; Jefferson County; Kentucky",""
"    Estimate","100,231"
"    Margin of Error","±20,918"
"Census Tract 104.05; Jefferson County; Kentucky",""
"    Estimate","68,197"
"    Margin of Error","±15,460"
"Census Tract 104.06; Jefferson County; Kentucky",""
"    Estimate","110,223"
"    Margin of Error","±10,879"
"Census Tract 104.07; Jefferson County; Kentucky",""
"    Estimate","79,821"
"    Margin of Error","±9,594"
"Census Tract 104.08; Jefferson County; Kentucky",""
"    Estimate","75,000"
"    Margin of Error","±16,001"
"Census Tract 105; Jefferson County; Kentucky",""
"    Estimate","82,396"
"    Margin of Error","±37,004"
"Census Tract 106.01; Jefferson County; Kentucky",""
"    Estimate","95,641"
"    Margin of Error","±27,426"
"Census Tract 106.02; Jefferson County; Kentucky",""
"    Estimate","64,770"
"    Margin of Error","±14,508"
"Census Tract 107.01; Jefferson County; Kentucky",""
"    Estimate","98,452"
"    Margin of Error","±32,206"
"Census Tract 107.02; Jefferson County; Kentucky",""
"    Estimate","79,156"
"    Margin of Error","±10,071"
"Census Tract 107.06; Jefferson County; Kentucky",""
"    Estimate","97,611"
"    Margin of Error","±29,366"
"Census Tract 107.07; Jefferson County; Kentucky",""
"    Estimate","97,890"
"    Margin of Error","±5,954"
"Census Tract 107.08; Jefferson County; Kentucky",""
"    Estimate","82,184"
"    Margin of Error","±8,957"
"Census Tract 108; Jefferson County; Kentucky",""
"    Estimate","78,480"
"    Margin of Error","±14,435"
"Census Tract 109.01; Jefferson County; Kentucky",""
"    Estimate","66,260"
"    Margin of Error","±7,626"
"Census Tract 109.02; Jefferson County; Kentucky",""
"    Estimate","78,029"
"    Margin of Error","±10,099"
"Census Tract 110.03; Jefferson County; Kentucky",""
"    Estimate","81,920"
"    Margin of Error","±11,173"
"Census Tract 110.05; Jefferson County; Kentucky",""
"    Estimate","62,077"
"    Margin of Error","±33,747"
"Census Tract 110.06; Jefferson County; Kentucky",""
"    Estimate","51,355"
"    Margin of Error","±5,812"
"Census Tract 110.07; Jefferson County; Kentucky",""
"    Estimate","35,693"
"    Margin of Error","±4,732"
"Census Tract 110.08; Jefferson County; Kentucky",""
"    Estimate","50,066"
"    Margin of Error","±17,536"
"Census Tract 110.09; Jefferson County; Kentucky",""
"    Estimate","81,635"
"    Margin of Error","±19,006"
"Census Tract 111.09; Jefferson County; Kentucky",""
"    Estimate","68,438"
"    Margin of Error","±16,823"
"Census Tract 111.10; Jefferson County; Kentucky",""
"    Estimate","85,757"
"    Margin of Error","±17,929"
"Census Tract 111.11; Jefferson County; Kentucky",""
"    Estimate","93,833"
"    Margin of Error","±8,987"
"Census Tract 111.12; Jefferson County; Kentucky",""
"    Estimate","91,583"
"    Margin of Error","±30,008"
"Census Tract 111.13; Jefferson County; Kentucky",""
"    Estimate","76,682"
"    Margin of Error","±7,833"
"Census Tract 111.14; Jefferson County; Kentucky",""
"    Estimate","86,131"
"    Margin of Error","±19,858"
"Census Tract 111.15; Jefferson County; Kentucky",""
"    Estimate","90,156"
"    Margin of Error","±38,336"
"Census Tract 111.16; Jefferson County; Kentucky",""
"    Estimate","72,508"
"    Margin of Error","±4,429"
"Census Tract 111.17; Jefferson County; Kentucky",""
"    Estimate","61,714"
"    Margin of Error","±5,878"
"Census Tract 111.18; Jefferson County; Kentucky",""
"    Estimate","90,754"
"    Margin of Error","±10,713"
"Census Tract 112.01; Jefferson County; Kentucky",""
"    Estimate","48,041"
"    Margin of Error","±7,130"
"Census Tract 112.02; Jefferson County; Kentucky",""
"    Estimate","43,583"
"    Margin of Error","±10,706"
"Census Tract 113.01; Jefferson County; Kentucky",""
"    Estimate","49,115"
"    Margin of Error","±12,592"
"Census Tract 113.02; Jefferson County; Kentucky",""
"    Estimate","61,976"
"    Margin of Error","±3,366"
"Census Tract 114.03; Jefferson County; Kentucky",""
"    Estimate","55,417"
"    Margin of Error","±11,590"
"Census Tract 114.04; Jefferson County; Kentucky",""
"    Estimate","29,672"
"    Margin of Error","±7,615"
"Census Tract 114.05; Jefferson County; Kentucky",""
"    Estimate","48,781"
"    Margin of Error","±12,249"
"Census Tract 114.06; Jefferson County; Kentucky",""
"    Estimate","55,052"
"    Margin of Error","±23,000"
"Census Tract 115.06; Jefferson County; Kentucky",""
"    Estimate","74,032"
"    Margin of Error","±12,872"
"Census Tract 115.08; Jefferson County; Kentucky",""
"    Estimate","81,154"
"    Margin of Error","±12,022"
"Census Tract 115.09; Jefferson County; Kentucky",""
"    Estimate","40,673"
"    Margin of Error","±7,304"
"Census Tract 115.13; Jefferson County; Kentucky",""
"    Estimate","73,590"
"    Margin of Error","±9,937"
"Census Tract 115.14; Jefferson County; Kentucky",""
"    Estimate","84,034"
"    Margin of Error","±24,546"
"Census Tract 115.15; Jefferson County; Kentucky",""
"    Estimate","91,793"
"    Margin of Error","±9,349"
"Census Tract 115.16; Jefferson County; Kentucky",""
"    Estimate","71,994"
"    Margin of Error","±10,067"
"Census Tract 115.17; Jefferson County; Kentucky",""
"    Estimate","97,149"
"    Margin of Error","±13,255"
"Census Tract 115.18; Jefferson County; Kentucky",""
"    Estimate","131,250"
"    Margin of Error","±23,383"
"Census Tract 115.19; Jefferson County; Kentucky",""
"    Estimate","109,615"
"    Margin of Error","±15,011"
"Census Tract 115.20; Jefferson County; Kentucky",""
"    Estimate","131,887"
"    Margin of Error","±44,973"
"Census Tract 115.21; Jefferson County; Kentucky",""
"    Estimate","68,939"
"    Margin of Error","±10,080"
"Census Tract 115.22; Jefferson County; Kentucky",""
"    Estimate","86,480"
"    Margin of Error","±15,180"
"Census Tract 116.03; Jefferson County; Kentucky",""
"    Estimate","110,673"
"    Margin of Error","±9,367"
"Census Tract 116.04; Jefferson County; Kentucky",""
"    Estimate","124,293"
"    Margin of Error","±42,749"
"Census Tract 116.05; Jefferson County; Kentucky",""
"    Estimate","96,484"
"    Margin of Error","±19,165"
"Census Tract 116.06; Jefferson County; Kentucky",""
"    Estimate","132,404"
"    Margin of Error","±30,362"
"Census Tract 117.06; Jefferson County; Kentucky",""
"    Estimate","81,875"
"    Margin of Error","±14,276"
"Census Tract 117.07; Jefferson County; Kentucky",""
"    Estimate","110,507"
"    Margin of Error","±14,535"
"Census Tract 117.08; Jefferson County; Kentucky",""
"    Estimate","74,375"
"    Margin of Error","±13,992"
"Census Tract 117.09; Jefferson County; Kentucky",""
"    Estimate","96,313"
"    Margin of Error","±18,245"
"Census Tract 117.10; Jefferson County; Kentucky",""
"    Estimate","86,367"
"    Margin of Error","±8,983"
"Census Tract 117.11; Jefferson County; Kentucky",""
"    Estimate","87,485"
"    Margin of Error","±28,005"
"Census Tract 117.12; Jefferson County; Kentucky",""
"    Estimate","61,850"
"    Margin of Error","±5,616"
"Census Tract 117.13; Jefferson County; Kentucky",""
"    Estimate","47,026"
"    Margin of Error","±18,073"
"Census Tract 118; Jefferson County; Kentucky",""
"    Estimate","50,179"
"    Margin of Error","±12,785"
"Census Tract 119.01; Jefferson County; Kentucky",""
"    Estimate","-"
"    Margin of Error","**"
"Census Tract 119.04; Jefferson County; Kentucky",""
"    Estimate","42,424"
"    Margin of Error","±26,468"
"Census Tract 119.06; Jefferson County; Kentucky",""
"    Estimate","52,835"
"    Margin of Error","±22,504"
"Census Tract 119.07; Jefferson County; Kentucky",""
"    Estimate","72,123"
"    Margin of Error","±9,336"
"Census Tract 119.08; Jefferson County; Kentucky",""
"    Estimate","51,400"
"    Margin of Error","±12,267"
"Census Tract 119.09; Jefferson County; Kentucky",""
"    Estimate","44,835"
"    Margin of Error","±19,164"
"Census Tract 120.01; Jefferson County; Kentucky",""
"    Estimate","67,798"
"    Margin of Error","±16,221"
"Census Tract 120.03; Jefferson County; Kentucky",""
"    Estimate","67,625"
"    Margin of Error","±28,214"
"Census Tract 120.04; Jefferson County; Kentucky",""
"    Estimate","50,231"
"    Margin of Error","±18,205"
"Census Tract 120.05; Jefferson County; Kentucky",""
"    Estimate","59,909"
"    Margin of Error","±13,390"
"Census Tract 121.03; Jefferson County; Kentucky",""
"    Estimate","80,556"
"    Margin of Error","±27,383"
"Census Tract 121.04; Jefferson County; Kentucky",""
"    Estimate","57,891"
"    Margin of Error","±19,106"
"Census Tract 121.05; Jefferson County; Kentucky",""
"    Estimate","69,160"
"    Margin of Error","±7,547"
"Census Tract 121.07; Jefferson County; Kentucky",""
"    Estimate","62,777"
"    Margin of Error","±22,166"
"Census Tract 121.08; Jefferson County; Kentucky",""
"    Estimate","60,729"
"    Margin of Error","±5,137"
"Census Tract 121.09; Jefferson County; Kentucky",""
"    Estimate","71,723"
"    Margin of Error","±13,063"
"Census Tract 122.03; Jefferson County; Kentucky",""
"    Estimate","73,993"
"    Margin of Error","±11,308"
"Census Tract 122.04; Jefferson County; Kentucky",""
"    Estimate","71,133"
"    Margin of Error","±20,085"
"Census Tract 122.05; Jefferson County; Kentucky",""
"    Estimate","51,656"
"    Margin of Error","±10,333"
"Census Tract 122.06; Jefferson County; Kentucky",""
"    Estimate","85,948"
"    Margin of Error","±25,385"
"Census Tract 123.01; Jefferson County; Kentucky",""
"    Estimate","64,295"
"    Margin of Error","±17,207"
"Census Tract 123.02; Jefferson County; Kentucky",""
"    Estimate","62,333"
"    Margin of Error","±37,640"
"Census Tract 124.06; Jefferson County; Kentucky",""
"    Estimate","69,269"
"    Margin of Error","±7,922"
"Census Tract 124.07; Jefferson County; Kentucky",""
"    Estimate","88,137"
"    Margin of Error","±19,086"
"Census Tract 124.08; Jefferson County; Kentucky",""
"    Estimate","69,514"
"    Margin of Error","±19,621"
"Census Tract 124.09; Jefferson County; Kentucky",""
"    Estimate","77,426"
"    Margin of Error","±14,161"
"Census Tract 124.10; Jefferson County; Kentucky",""
"    Estimate","67,969"
"    Margin of Error","±20,397"
"Census Tract 124.12; Jefferson County; Kentucky",""
"    Estimate","62,461"
"    Margin of Error","±21,732"
"Census Tract 124.13; Jefferson County; Kentucky",""
"    Estimate","66,413"
"    Margin of Error","±36,030"
"Census Tract 125.01; Jefferson County; Kentucky",""
"    Estimate","40,990"
"    Margin of Error","±15,452"
"Census Tract 125.02; Jefferson County; Kentucky",""
"    Estimate","61,225"
"    Margin of Error","±7,233"
"Census Tract 125.03; Jefferson County; Kentucky",""
"    Estimate","63,149"
"    Margin of Error","±8,768"
"Census Tract 126.03; Jefferson County; Kentucky",""
"    Estimate","50,982"
"    Margin of Error","±22,333"
"Census Tract 126.04; Jefferson County; Kentucky",""
"    Estimate","58,222"
"    Margin of Error","±7,437"
"Census Tract 126.05; Jefferson County; Kentucky",""
"    Estimate","50,775"
"    Margin of Error","±26,071"
"Census Tract 126.06; Jefferson County; Kentucky",""
"    Estimate","67,429"
"    Margin of Error","±10,159"
"Census Tract 127.01; Jefferson County; Kentucky",""
"    Estimate","34,028"
"    Margin of Error","±9,996"
"Census Tract 127.02; Jefferson County; Kentucky",""
"    Estimate","42,191"
"    Margin of Error","±14,757"
"Census Tract 127.03; Jefferson County; Kentucky",""
"    Estimate","56,186"
"    Margin of Error","±10,400"
"Census Tract 128.01; Jefferson County; Kentucky",""
"    Estimate","34,380"
"    Margin of Error","±8,030"
"Census Tract 128.02; Jefferson County; Kentucky",""
"    Estimate","42,227"
"    Margin of Error","±13,894"
"Census Tract 131; Jefferson County; Kentucky",""
"    Estimate","109,185"
"    Margin of Error","±6,203"
"Census Tract 9801; Jefferson County; Kentucky",""
"    Estimate","-"
"    Margin of Error","**"
